Corporate Name,Supervising Authority,Designation Type,Industry,Ghge,Energy,Verification
의정부시,기후에너지환경부,사업장,"하수, 폐수 및 분뇨 처리업",82379,400,㈜한국품질보증원
이건에너지(주),산업통상자원부,사업장,산업단지,15254,2615,㈜한국품질보증원
이구산업(주),기후에너지환경부,사업장,1차 비철금속 제조업,36264,748,한국생산성본부인증원(주)
이누스 주식회사,기후에너지환경부,사업장,"내화, 비내화 요업제품 제조업",52998,903,한국표준협회
이도에코오산(주) ,기후에너지환경부,사업장,폐기물 처리업,47492,33,(주)한국경영인증원
이도에코전주(주),기후에너지환경부,사업장,폐기물 처리업,42693,23,㈜한국품질보증원
이래에이엠에스 주식회사,산업통상자원부,사업장,자동차,24600,509,㈜한국품질보증원
이스트만화이버코리아 주식회사,기후에너지환경부,사업장,화학섬유 제조업,42245,716,(주)한국경영인증원
이지스제210호전문투자형사모부동산투자회사,국토교통부,사업장,건물,20982,435,(주)한국경영인증원
이천시,기후에너지환경부,사업장,폐기물 처리업,120026,633,㈜한국품질보증원
익산시,기후에너지환경부,사업장,폐기물 처리업,74429,572,㈜한국품질보증원
인제군,기후에너지환경부,사업장,폐기물,24069,35,(주)한국경영인증원
인지에이엠티(주),산업통상자원부,사업장,자동차,20590,424,(주)한국경영인증원
인천공항에너지,기후에너지환경부,업체,"증기, 냉ㆍ온수 및 공기 조절 공급업",185004,3674,㈜한국품질보증원
인천광역시,기후에너지환경부,업체,폐기물 처리업,398065,4977,(재)한국화학융합시험연구원
인천교통공사,기후에너지환경부,사업장,육상 여객 운송업,117332,2421,한국표준협회
인천국제공항공사,기후에너지환경부,업체,기타 운송관련 서비스업,267110,5157,(주)한국경영인증원
인천연료전지(주),산업통상자원부,업체,전기업,167926,18,(주)한국경영인증원
인천종합에너지(주),기후에너지환경부,업체,"증기, 냉ㆍ온수 및 공기 조절 공급업",397688,7984,㈜디엔브이비즈니스어슈어런스코리아
인터지스(주),기후에너지환경부,사업장,도로 화물 운송업,32691,485,(주)한국경영인증원
인프라에어홀딩스 주식회사,기후에너지환경부,업체,기초 화학물질 제조업,260445,5441,한국표준협회
일신로지스틱스주식회사,해양수산부,사업장,교통(해운),15043,217,㈜디엔브이비즈니스어슈어런스코리아
일신방직(주) ,기후에너지환경부,사업장,방적 및 가공사 제조업,50727,1059,로이드인증원㈜
일진디스플레이(주),기후에너지환경부,사업장,전자 부품 제조업,15664,326,한국표준협회
일진제강(주),기후에너지환경부,사업장,1차 철강 제조업,53130,1073,한국표준협회
재단법인 대구경북과학기술원,기후에너지환경부,사업장,고등 교육기관,31474,643,한국표준협회
재단법인 아산사회복지재단,기후에너지환경부,사업장,병원,95744,1928,한국표준협회
재단법인 오송첨단의료산업진흥재단,국토교통부,사업장,건물,16372,335,한국표준협회
재원산업,기후에너지환경부,사업장,기초 화학물질 제조업,25225,665,(재)한국품질재단
전남대학교,기후에너지환경부,사업장,고등 교육기관,37811,769,한국표준협회
전방(주),산업통상자원부,업체,섬유,17410,362,(주)한국경영인증원
전북대학교,기후에너지환경부,사업장,고등 교육기관,35713,735,(주)한국경영인증원
전북대학교병원,국토교통부,사업장,건물,21845,458,(재)한국화학융합시험연구원
전북집단에너지 주식회사,기후에너지환경부,업체,"증기, 냉ㆍ온수 및 공기 조절 공급업",195564,2313,로이드인증원㈜
전주시,기후에너지환경부,업체,폐기물 처리업,168919,1771,㈜한국품질보증원
전차연물류(주),국토교통부,사업장,교통(화물),14359,204,㈜한국품질보증원
제이비 주식회사,기후에너지환경부,사업장,"증기, 냉ㆍ온수 및 공기 조절 공급업",28524,572,(재)한국품질재단
